# The shapes a source reader takes — the P3, P14, P16 rows of docs/plans/MIGRATION-DEBT.tsv, classified.
# Generated by: python scripts/dev/bt-app-reader-shapes.py
# Read-only, re-runnable; the rows come out in the debt list's order.
# mechanical: yes = a converter can rewrite the site and a person need not read it; partial = a converter can propose the rewrite and a person must read the result; no = a person decides.
# row: the line of MIGRATION-DEBT.tsv this came from.
row	ticket	file	test	shape	reader	selectors	assertion	mechanical	reason
D0090	P16	crates/bt-app/src/file_reads_doors.txt	animation.rs: read: .read	L-ledger-key	file_reads_doors.txt	animation.rs: read: .read	ledger key equality	no	not a reader with a test function: a key in a plain-text ledger whose first field is a file name. Re-keying it is P6/P16's own edit and there is no expression to rewrite
D0091	P16	crates/bt-app/src/file_reads_doors.txt	animation.rs: read_head: .read	L-ledger-key	file_reads_doors.txt	animation.rs: read_head: .read	ledger key equality	no	not a reader with a test function: a key in a plain-text ledger whose first field is a file name. Re-keying it is P6/P16's own edit and there is no expression to rewrite
D0092	P16	crates/bt-app/src/file_reads_doors.txt	animation.rs: stream: open	L-ledger-key	file_reads_doors.txt	animation.rs: stream: open	ledger key equality	no	not a reader with a test function: a key in a plain-text ledger whose first field is a file name. Re-keying it is P6/P16's own edit and there is no expression to rewrite
D0093	P16	crates/bt-app/src/file_reads_doors.txt	attention_copilot.rs: run_probe: .output	L-ledger-key	file_reads_doors.txt	attention_copilot.rs: run_probe: .output	ledger key equality	no	not a reader with a test function: a key in a plain-text ledger whose first field is a file name. Re-keying it is P6/P16's own edit and there is no expression to rewrite
D0094	P16	crates/bt-app/src/file_reads_doors.txt	attention_ownership.rs: record: Marks::read	L-ledger-key	file_reads_doors.txt	attention_ownership.rs: record: Marks::read	ledger key equality	no	not a reader with a test function: a key in a plain-text ledger whose first field is a file name. Re-keying it is P6/P16's own edit and there is no expression to rewrite
D0095	P16	crates/bt-app/src/file_reads_doors.txt	attention_wire.rs: payload_on_stdin: .read_to_end	L-ledger-key	file_reads_doors.txt	attention_wire.rs: payload_on_stdin: .read_to_end	ledger key equality	no	not a reader with a test function: a key in a plain-text ledger whose first field is a file name. Re-keying it is P6/P16's own edit and there is no expression to rewrite
D0096	P16	crates/bt-app/src/file_reads_doors.txt	attention_words.rs: lede_in_tail: .read_to_end	L-ledger-key	file_reads_doors.txt	attention_words.rs: lede_in_tail: .read_to_end	ledger key equality	no	not a reader with a test function: a key in a plain-text ledger whose first field is a file name. Re-keying it is P6/P16's own edit and there is no expression to rewrite
D0097	P16	crates/bt-app/src/file_reads_doors.txt	attention_words.rs: transcript_lede: File::open	L-ledger-key	file_reads_doors.txt	attention_words.rs: transcript_lede: File::open	ledger key equality	no	not a reader with a test function: a key in a plain-text ledger whose first field is a file name. Re-keying it is P6/P16's own edit and there is no expression to rewrite
D0098	P16	crates/bt-app/src/file_reads_doors.txt	clipboard_picture.rs: reserve: .open	L-ledger-key	file_reads_doors.txt	clipboard_picture.rs: reserve: .open	ledger key equality	no	not a reader with a test function: a key in a plain-text ledger whose first field is a file name. Re-keying it is P6/P16's own edit and there is no expression to rewrite
D0099	P16	crates/bt-app/src/file_reads_doors.txt	diagnostics.rs: append_note: .open	L-ledger-key	file_reads_doors.txt	diagnostics.rs: append_note: .open	ledger key equality	no	not a reader with a test function: a key in a plain-text ledger whose first field is a file name. Re-keying it is P6/P16's own edit and there is no expression to rewrite
D0100	P16	crates/bt-app/src/file_reads_doors.txt	explorer_menu.rs: serve: crate::persist::SettingsStore::open	L-ledger-key	file_reads_doors.txt	explorer_menu.rs: serve: crate::persist::SettingsStore::open	ledger key equality	no	not a reader with a test function: a key in a plain-text ledger whose first field is a file name. Re-keying it is P6/P16's own edit and there is no expression to rewrite
D0101	P16	crates/bt-app/src/file_reads_doors.txt	files_watch.rs: sync_with: open	L-ledger-key	file_reads_doors.txt	files_watch.rs: sync_with: open	ledger key equality	no	not a reader with a test function: a key in a plain-text ledger whose first field is a file name. Re-keying it is P6/P16's own edit and there is no expression to rewrite
D0102	P16	crates/bt-app/src/file_reads_doors.txt	git.rs: drain: .read_to_end	L-ledger-key	file_reads_doors.txt	git.rs: drain: .read_to_end	ledger key equality	no	not a reader with a test function: a key in a plain-text ledger whose first field is a file name. Re-keying it is P6/P16's own edit and there is no expression to rewrite
D0103	P16	crates/bt-app/src/file_reads_doors.txt	git_watch.rs: sync_with: open	L-ledger-key	file_reads_doors.txt	git_watch.rs: sync_with: open	ledger key equality	no	not a reader with a test function: a key in a plain-text ledger whose first field is a file name. Re-keying it is P6/P16's own edit and there is no expression to rewrite
D0104	P16	crates/bt-app/src/file_reads_doors.txt	hang_watch.rs: append_healed: .open	L-ledger-key	file_reads_doors.txt	hang_watch.rs: append_healed: .open	ledger key equality	no	not a reader with a test function: a key in a plain-text ledger whose first field is a file name. Re-keying it is P6/P16's own edit and there is no expression to rewrite
D0105	P16	crates/bt-app/src/file_reads_doors.txt	main.rs: append_panic_report: .open	L-ledger-key	file_reads_doors.txt	main.rs: append_panic_report: .open	ledger key equality	no	not a reader with a test function: a key in a plain-text ledger whose first field is a file name. Re-keying it is P6/P16's own edit and there is no expression to rewrite
D0113	P16	crates/bt-app/src/file_reads_doors.txt	main.rs: create_leaf_session: .output	L-ledger-key	file_reads_doors.txt	main.rs: create_leaf_session: .output	ledger key equality	no	not a reader with a test function: a key in a plain-text ledger whose first field is a file name. Re-keying it is P6/P16's own edit and there is no expression to rewrite
D0114	P16	crates/bt-app/src/file_reads_doors.txt	main.rs: dump_chrome_frame: .open	L-ledger-key	file_reads_doors.txt	main.rs: dump_chrome_frame: .open	ledger key equality	no	not a reader with a test function: a key in a plain-text ledger whose first field is a file name. Re-keying it is P6/P16's own edit and there is no expression to rewrite
D0115	P16	crates/bt-app/src/file_reads_doors.txt	main.rs: dump_overlay_frame: .open	L-ledger-key	file_reads_doors.txt	main.rs: dump_overlay_frame: .open	ledger key equality	no	not a reader with a test function: a key in a plain-text ledger whose first field is a file name. Re-keying it is P6/P16's own edit and there is no expression to rewrite
D0118	P16	crates/bt-app/src/file_reads_doors.txt	main.rs: new_window_runtime: .open	L-ledger-key	file_reads_doors.txt	main.rs: new_window_runtime: .open	ledger key equality	no	not a reader with a test function: a key in a plain-text ledger whose first field is a file name. Re-keying it is P6/P16's own edit and there is no expression to rewrite
D0121	P16	crates/bt-app/src/file_reads_doors.txt	main.rs: open_the_data_directorys_endpoints: attention_wire::open	L-ledger-key	file_reads_doors.txt	main.rs: open_the_data_directorys_endpoints: attention_wire::open	ledger key equality	no	not a reader with a test function: a key in a plain-text ledger whose first field is a file name. Re-keying it is P6/P16's own edit and there is no expression to rewrite
