# MIGRATION-DEBT — every source reader in this workspace that still names a file.
#
# **This list only shrinks.** A row is removed by the ticket that migrates its
# reader onto `bt-source`; no ticket may add one. `scripts/ci/check-migration-debt.ps1`
# compares this file with the merge base and fails on an added row.
#
# **It is temporary.** It reaches zero at P20 of `docs/plans/bt-app-split-prep.md`,
# and it is deleted when it does.
#
# **It is not a completeness proof.** It was seeded from a census
# (`bt-app-split-pins-2026-09-21.tsv`, taken at 1f1d2daa) plus a lexical sweep,
# and both under-report by construction: a reader assembled at run time, or one
# split across two functions, is in neither. The tripwire
# (`crates/bt-source/tests/tripwire.rs`) reads fewer rows still — it scans `.rs`
# and `.ps1` only, so the three Python generators below are on this list and out
# of its reach. A reader with no row here and no allowlist variant is a gap, and
# finding one is a finding, not a reason to widen either list.
#
# **The sweep over-reported as well, and a row may go because it was never a
# reader.** 98 rows whose mechanism read `source text read` were the lexical
# seed matching a string that ends in `.rs` — a fixture path, a buffer's
# identity, a name a grammar lookup is asked about — inside a test that reads no
# source at all. Every one was opened and read before it went, and the reasons
# are in the commit that removed them. That is the only second way off this
# list: a reading, written down, of why the row was never true. The tripwire is
# what makes it safe rather than merely tidy — it matches by file, so a row
# struck wrongly in a file with no other row leaves that file uncovered and the
# guard goes red naming it.
#
# The other list is the file-scoped allowlist, `bt_source::FileScoped`: readers
# whose concern really is a file. It is permanent and it has three entries.
#
# ticket: the ticket of `docs/plans/bt-app-split-prep.md` §§6.3/6.5 that will
# migrate the row. Assigned by the plan's own batching — body pins P3/P14,
# counts P4/P15, negatives and text scopes P5/P15, `file_reads_doors.txt` P6/P16,
# walkers P7/P8/P12/P13, cross-crate and script readers P17, the documentation
# generators P0 (§6.6) — with the first number where Step 2a disturbs the row and
# the second where it does not. A ticket may re-claim a row; it may not add one.
#
# disturbed_by_2a: the census's own answer, from the `impact` column of the pins
# TSV. It is not a prediction that the reader will turn red — see §5 of
# `bt-app-split-inventory-2026-09-21.md`, which is about exactly that confusion.
file	owner	mechanism	subject	ticket	disturbed_by_2a
crates/bt-app/src/attention_copilot.rs	attention_copilot::tests::every_command_says_which_upstream_it_speaks_for_and_hands_over_nothing	fixture / manifest read	(the file it reads)	P14	no
crates/bt-app/src/attention_copilot.rs	attention_copilot::tests::taking_it_back_out_leaves_the_directory_that_was_there	fixture / manifest read	(the file it reads)	P14	no
crates/bt-app/src/attention_copilot.rs	attention_copilot::tests::the_file_this_installs_is_this	include_str!	../../../docs/plans/attention/copilot-hooks.json	P14	no
crates/bt-app/src/attention_copilot.rs	attention_copilot::tests::the_notification_hook_is_narrowed_to_the_two_subtypes_that_are_waits	fixture / manifest read	(the file it reads)	P14	no
crates/bt-app/src/attention_copilot.rs	attention_copilot::tests::the_only_file_this_writes_is_the_one_the_environment_names	include_str!	attention_copilot.rs	P14	no
crates/bt-app/src/attention_copilot.rs	attention_copilot::tests::the_settings_file_is_read_and_never_written	include_str!	attention_copilot.rs	P14	no
crates/bt-app/src/attention_copilot.rs	attention_copilot::tests::what_is_written_never_carries_two_layers_of_one_request	fixture / manifest read	(the file it reads)	P14	no
crates/bt-app/src/attention_hooks.rs	attention_hooks::tests::a_copy_that_cannot_be_kept_refuses_to_write	fixture / manifest read	(the file it reads)	P14	no
crates/bt-app/src/attention_hooks.rs	attention_hooks::tests::a_dead_owner_can_be_replaced_after_moving_folio	fixture / manifest read	(the file it reads)	P14	no
crates/bt-app/src/attention_hooks.rs	attention_hooks::tests::a_landing_is_whole_or_it_is_nothing_at_all	include_str!	attention_codex.rs;attention_copilot.rs;attention_hooks.rs	P14	no
crates/bt-app/src/attention_hooks.rs	attention_hooks::tests::a_notification_subtype_is_registered_as_a_matcher	fixture / manifest read	(the file it reads)	P14	no
crates/bt-app/src/attention_hooks.rs	attention_hooks::tests::a_settings_file_that_could_not_be_read_is_never_written_over	fixture / manifest read	(the file it reads)	P14	no
crates/bt-app/src/attention_hooks.rs	attention_hooks::tests::a_settings_file_that_is_not_there_is_the_one_that_gets_created	fixture / manifest read	(the file it reads)	P14	no
crates/bt-app/src/attention_hooks.rs	attention_hooks::tests::a_settings_file_that_is_there_is_copied_before_it_is_changed	fixture / manifest read	(the file it reads)	P14	no
crates/bt-app/src/attention_hooks.rs	attention_hooks::tests::attention_two_live_copies_require_takeover_and_preserve_bytes	fixture / manifest read	(the file it reads)	P14	no
crates/bt-app/src/attention_hooks.rs	attention_hooks::tests::installing_twice_changes_nothing_the_second_time	fixture / manifest read	(the file it reads)	P14	no
crates/bt-app/src/attention_hooks.rs	attention_hooks::tests::no_hook_this_writes_can_hold_up_an_approval	fixture / manifest read	(the file it reads)	P14	no
crates/bt-app/src/attention_hooks.rs	attention_hooks::tests::taking_them_back_out_leaves_what_was_there	fixture / manifest read	(the file it reads)	P14	no
crates/bt-app/src/attention_hooks.rs	attention_hooks::tests::the_block_a_mac_installs_is_the_same_direct_exec_block	fixture / manifest read	(the file it reads)	P14	no
crates/bt-app/src/attention_hooks.rs	attention_hooks::tests::the_block_this_installs_is_this	include_str!	../../../docs/plans/attention/claude-hooks.json	P14	no
crates/bt-app/src/attention_hooks.rs	attention_hooks::tests::the_only_file_this_writes_is_the_one_the_environment_names	include_str!	attention_hooks.rs	P14	no
crates/bt-app/src/attention_hooks.rs	attention_hooks::tests::what_is_written_never_carries_two_layers_of_one_request	fixture / manifest read	(the file it reads)	P14	no
crates/bt-app/src/attention_hooks.rs	attention_hooks::tests::what_lands_is_the_file_and_nothing_beside_it	fixture / manifest read	read	P14	no
crates/bt-app/src/attention_ownership.rs	attention_ownership::tests::attention_a_linked_config_is_edited_at_its_target_inside_the_agents_folder	fixture / manifest read	(the file it reads)	P14	no
crates/bt-app/src/attention_ownership.rs	attention_ownership::tests::attention_a_strangers_program_is_never_folios	fixture / manifest read	(the file it reads)	P14	no
crates/bt-app/src/attention_ownership.rs	attention_ownership::tests::attention_an_operation_resolves_its_configuration_once	fixture / manifest read	target	P14	no
crates/bt-app/src/attention_ownership.rs	attention_ownership::tests::attention_codex_takeover_never_replaces_a_user_notifier	fixture / manifest read	(the file it reads)	P14	no
crates/bt-app/src/attention_ownership.rs	attention_ownership::tests::attention_malformed_future_schema_and_readonly_are_byte_identical	fixture / manifest read	(the file it reads)	P14	no
crates/bt-app/src/attention_ownership.rs	attention_ownership::tests::attention_only_one_function_resolves_a_configuration_path	include_str!	editable;main	P14	no
crates/bt-app/src/attention_ownership.rs	attention_ownership::tests::attention_relative_operand_names_nobody_and_is_removable	fixture / manifest read	remove	P14	no
crates/bt-app/src/attention_ownership.rs	attention_ownership::tests::attention_untrusted_executable_and_bad_record_refuse_without_config_changes	fixture / manifest read	(the file it reads)	P14	no
crates/bt-app/src/clipboard_picture.rs	clipboard_picture::tests::every_encoding_is_judged_by_the_one_ceiling	include_str!	png_from;png_from_dib	P14	no
crates/bt-app/src/context_menu.rs	context_menu::tests::the_classic_registration_is_announced_to_the_shell_as_well	runtime fs read	(the file it reads)	P17	no
crates/bt-app/src/diagnostics.rs	diagnostics::bt_environment_doc_tests::every_bt_name_in_the_source_is_in_the_document_and_the_reverse	include_str!	../../../docs/BT-ENVIRONMENT.md	P13	no
crates/bt-app/src/diagnostics.rs	diagnostics::bt_environment_doc_tests::the_document_names_both_directories_the_product_writes_under	include_str!	../../../docs/BT-ENVIRONMENT.md	P13	no
crates/bt-app/src/diagnostics.rs	diagnostics::tests::a_run_heads_its_log_before_anything_else_can_write_into_it	include_str!	choose_resident_channel;open_run_log	P14	no
crates/bt-app/src/diagnostics.rs	diagnostics::tests::nothing_branches_on_the_two_console_no_ops	include_str!	choose_resident_channel;main	P14	no
crates/bt-app/src/file_reads_doors.txt	animation.rs: file_source_in_lane: FileAnimationSource::open	ledger key naming a file	file_source_in_lane (1 site(s), FileAnimationSource::open)	P16	no
crates/bt-app/src/file_reads_doors.txt	animation.rs: first_frame: open	ledger key naming a file	first_frame (1 site(s), open)	P16	no
crates/bt-app/src/file_reads_doors.txt	animation.rs: open_in_lane: std::fs::File::open	ledger key naming a file	open_in_lane (1 site(s), std::fs::File::open)	P16	no
crates/bt-app/src/file_reads_doors.txt	animation.rs: read: .read	ledger key naming a file	read (1 site(s), .read)	P16	no
crates/bt-app/src/file_reads_doors.txt	animation.rs: read_head: .read	ledger key naming a file	read_head (1 site(s), .read)	P16	no
crates/bt-app/src/file_reads_doors.txt	animation.rs: stream: open	ledger key naming a file	stream (1 site(s), open)	P16	no
crates/bt-app/src/file_reads_doors.txt	attention_copilot.rs: run_probe: .output	ledger key naming a file	run_probe (1 site(s), .output)	P16	no
crates/bt-app/src/file_reads_doors.txt	attention_ownership.rs: record: Marks::read	ledger key naming a file	record (1 site(s), Marks::read)	P16	no
crates/bt-app/src/file_reads_doors.txt	attention_wire.rs: payload_on_stdin: .read_to_end	ledger key naming a file	payload_on_stdin (1 site(s), .read_to_end)	P16	no
crates/bt-app/src/file_reads_doors.txt	attention_words.rs: lede_in_tail: .read_to_end	ledger key naming a file	lede_in_tail (1 site(s), .read_to_end)	P16	no
crates/bt-app/src/file_reads_doors.txt	attention_words.rs: transcript_lede: File::open	ledger key naming a file	transcript_lede (1 site(s), File::open)	P16	no
crates/bt-app/src/file_reads_doors.txt	clipboard_picture.rs: reserve: .open	ledger key naming a file	reserve (1 site(s), .open)	P16	no
crates/bt-app/src/file_reads_doors.txt	diagnostics.rs: append_note: .open	ledger key naming a file	append_note (1 site(s), .open)	P16	no
crates/bt-app/src/file_reads_doors.txt	explorer_menu.rs: serve: crate::persist::SettingsStore::open	ledger key naming a file	serve (1 site(s), crate::persist::SettingsStore::open)	P16	no
crates/bt-app/src/file_reads_doors.txt	files_watch.rs: sync_with: open	ledger key naming a file	sync_with (1 site(s), open)	P16	no
crates/bt-app/src/file_reads_doors.txt	git.rs: drain: .read_to_end	ledger key naming a file	drain (1 site(s), .read_to_end)	P16	no
crates/bt-app/src/file_reads_doors.txt	git_watch.rs: sync_with: open	ledger key naming a file	sync_with (1 site(s), open)	P16	no
crates/bt-app/src/file_reads_doors.txt	hang_watch.rs: append_healed: .open	ledger key naming a file	append_healed (1 site(s), .open)	P16	no
crates/bt-app/src/file_reads_doors.txt	main.rs: append_panic_report: .open	ledger key naming a file	append_panic_report (1 site(s), .open)	P16	no
crates/bt-app/src/file_reads_doors.txt	main.rs: commit_web_page: .open	ledger key naming a file	commit_web_page (1 site(s), .open)	P6	yes
crates/bt-app/src/file_reads_doors.txt	main.rs: create: GpuContext::open	ledger key naming a file	create (1 site(s), GpuContext::open)	P6	yes
crates/bt-app/src/file_reads_doors.txt	main.rs: create: persist::KeybindingsStore::open	ledger key naming a file	create (1 site(s), persist::KeybindingsStore::open)	P6	yes
crates/bt-app/src/file_reads_doors.txt	main.rs: create: persist::ProfilesStore::open	ledger key naming a file	create (1 site(s), persist::ProfilesStore::open)	P6	yes
crates/bt-app/src/file_reads_doors.txt	main.rs: create: persist::SessionStore::open	ledger key naming a file	create (1 site(s), persist::SessionStore::open)	P6	yes
crates/bt-app/src/file_reads_doors.txt	main.rs: create: persist::SettingsStore::open	ledger key naming a file	create (1 site(s), persist::SettingsStore::open)	P6	yes
crates/bt-app/src/file_reads_doors.txt	main.rs: create: pins::PinsStore::open	ledger key naming a file	create (1 site(s), pins::PinsStore::open)	P6	yes
crates/bt-app/src/file_reads_doors.txt	main.rs: create_leaf_session: .output	ledger key naming a file	create_leaf_session (1 site(s), .output)	P16	no
crates/bt-app/src/file_reads_doors.txt	main.rs: dump_chrome_frame: .open	ledger key naming a file	dump_chrome_frame (1 site(s), .open)	P16	no
crates/bt-app/src/file_reads_doors.txt	main.rs: dump_overlay_frame: .open	ledger key naming a file	dump_overlay_frame (1 site(s), .open)	P16	no
crates/bt-app/src/file_reads_doors.txt	main.rs: land_page_source_on: .open	ledger key naming a file	land_page_source_on (1 site(s), .open)	P6	yes
crates/bt-app/src/file_reads_doors.txt	main.rs: land_preview_source_on: .open	ledger key naming a file	land_preview_source_on (1 site(s), .open)	P6	yes
crates/bt-app/src/file_reads_doors.txt	main.rs: new_window_runtime: .open	ledger key naming a file	new_window_runtime (1 site(s), .open)	P16	no
crates/bt-app/src/file_reads_doors.txt	main.rs: open_rename: TabRename::open	ledger key naming a file	open_rename (1 site(s), TabRename::open)	P6	yes
crates/bt-app/src/file_reads_doors.txt	main.rs: open_search: .open	ledger key naming a file	open_search (1 site(s), .open)	P6	yes
crates/bt-app/src/file_reads_doors.txt	main.rs: open_the_data_directorys_endpoints: attention_wire::open	ledger key naming a file	open_the_data_directorys_endpoints (1 site(s), attention_wire::open)	P16	no
crates/bt-app/src/file_reads_doors.txt	main.rs: open_the_data_directorys_endpoints: launch_wire::open	ledger key naming a file	open_the_data_directorys_endpoints (1 site(s), launch_wire::open)	P16	no
crates/bt-app/src/file_reads_doors.txt	main.rs: open_web_page_on: webhost::WebSeat::open	ledger key naming a file	open_web_page_on (1 site(s), webhost::WebSeat::open)	P6	yes
crates/bt-app/src/file_reads_doors.txt	main.rs: place_float: .open	ledger key naming a file	place_float (1 site(s), .open)	P6	yes
crates/bt-app/src/file_reads_doors.txt	main.rs: play_video_file_on: .open	ledger key naming a file	play_video_file_on (1 site(s), .open)	P6	yes
crates/bt-app/src/file_reads_doors.txt	main.rs: pop_out_preview: .open	ledger key naming a file	pop_out_preview (1 site(s), .open)	P6	yes
crates/bt-app/src/file_reads_doors.txt	main.rs: promote_file_peek: .open	ledger key naming a file	promote_file_peek (1 site(s), .open)	P6	yes
crates/bt-app/src/file_reads_doors.txt	main.rs: raise_dirty_gate: .open	ledger key naming a file	raise_dirty_gate (1 site(s), .open)	P6	yes
crates/bt-app/src/file_reads_doors.txt	main.rs: raise_first_run_if_due: .open	ledger key naming a file	raise_first_run_if_due (1 site(s), .open)	P6	yes
crates/bt-app/src/file_reads_doors.txt	main.rs: raise_psreadline_invite_if_due: .open	ledger key naming a file	raise_psreadline_invite_if_due (1 site(s), .open)	P6	yes
crates/bt-app/src/file_reads_doors.txt	main.rs: say_at_the_front_door: persist::SettingsStore::open	ledger key naming a file	say_at_the_front_door (1 site(s), persist::SettingsStore::open)	P16	no
crates/bt-app/src/file_reads_doors.txt	main.rs: settings_layout: .read	ledger key naming a file	settings_layout (1 site(s), .read)	P6	yes
crates/bt-app/src/file_reads_doors.txt	main.rs: turn: .open	ledger key naming a file	turn (1 site(s), .open)	P6	yes
crates/bt-app/src/file_reads_doors.txt	pdf.rs: count_pages: .read	ledger key naming a file	count_pages (1 site(s), .read)	P16	no
crates/bt-app/src/file_reads_doors.txt	pdf.rs: read_capped: .read_to_end	ledger key naming a file	read_capped (1 site(s), .read_to_end)	P16	no
crates/bt-app/src/file_reads_doors.txt	persist.rs: open: SessionWriter::open	ledger key naming a file	open (1 site(s), SessionWriter::open)	P16	no
crates/bt-app/src/file_reads_doors.txt	preview.rs: read_up_to: .read_to_end	ledger key naming a file	read_up_to (1 site(s), .read_to_end)	P16	no
crates/bt-app/src/file_reads_doors.txt	preview_watch.rs: sync_with: open	ledger key naming a file	sync_with (1 site(s), open)	P16	no
crates/bt-app/src/file_reads_doors.txt	profiles.rs: table: .read	ledger key naming a file	table (1 site(s), .read)	P16	no
crates/bt-app/src/file_reads_doors.txt	profiles.rs: title: .read	ledger key naming a file	title (1 site(s), .read)	P16	no
crates/bt-app/src/file_reads_doors.txt	profiles.rs: with_table: read	ledger key naming a file	with_table (1 site(s), read)	P16	no
crates/bt-app/src/file_reads_doors.txt	psreadline.rs: install_recorded: Marks::read	ledger key naming a file	install_recorded (1 site(s), Marks::read)	P16	no
crates/bt-app/src/file_reads_doors.txt	psreadline.rs: is_folios_copy_at: installed_disk::read	ledger key naming a file	is_folios_copy_at (1 site(s), installed_disk::read)	P16	no
crates/bt-app/src/file_reads_doors.txt	psreadline.rs: read: .read	ledger key naming a file	read (1 site(s), .read)	P16	no
crates/bt-app/src/file_reads_doors.txt	psreadline.rs: run_probe: .output	ledger key naming a file	run_probe (1 site(s), .output)	P16	no
crates/bt-app/src/file_reads_doors.txt	psreadline.rs: unclaimed_or_foreign: installed_disk::read	ledger key naming a file	unclaimed_or_foreign (1 site(s), installed_disk::read)	P16	no
crates/bt-app/src/file_reads_doors.txt	schemes.rs: catalogue: .read	ledger key naming a file	catalogue (1 site(s), .read)	P16	no
crates/bt-app/src/file_reads_doors.txt	settings.rs: adopted: .read	ledger key naming a file	adopted (2 site(s), .read)	P16	no
crates/bt-app/src/file_reads_doors.txt	settings.rs: get: .read	ledger key naming a file	get (1 site(s), .read)	P16	no
crates/bt-app/src/file_reads_doors.txt	settings.rs: scanned: .read	ledger key naming a file	scanned (2 site(s), .read)	P16	no
crates/bt-app/src/file_reads_doors.txt	shell_integration.rs: add_profile_with_forms: profile_marks::Decoded::read	ledger key naming a file	add_profile_with_forms (1 site(s), profile_marks::Decoded::read)	P16	no
crates/bt-app/src/file_reads_doors.txt	shell_integration.rs: offer_for: profile_marks::Decoded::read	ledger key naming a file	offer_for (1 site(s), profile_marks::Decoded::read)	P16	no
crates/bt-app/src/file_reads_doors.txt	shell_integration.rs: profile_path_reason: std::fs::File::open	ledger key naming a file	profile_path_reason (1 site(s), std::fs::File::open)	P16	no
crates/bt-app/src/file_reads_doors.txt	shell_integration.rs: read_profile_for_edit: .open	ledger key naming a file	read_profile_for_edit (1 site(s), .open)	P16	no
crates/bt-app/src/file_reads_doors.txt	shell_integration.rs: read_profile_for_edit: .read	ledger key naming a file	read_profile_for_edit (1 site(s), .read)	P16	no
crates/bt-app/src/file_reads_doors.txt	shell_integration.rs: read_profile_for_edit: .read_to_end	ledger key naming a file	read_profile_for_edit (1 site(s), .read_to_end)	P16	no
crates/bt-app/src/file_reads_doors.txt	shell_integration.rs: replace_profile: .open	ledger key naming a file	replace_profile (1 site(s), .open)	P16	no
crates/bt-app/src/file_reads_doors.txt	shell_integration/profile_marks.rs: lock: .open	ledger key naming a file	lock (1 site(s), .open)	P16	no
crates/bt-app/src/file_reads_doors.txt	shell_integration/profile_marks.rs: lock: .read	ledger key naming a file	lock (1 site(s), .read)	P16	no
crates/bt-app/src/file_reads_doors.txt	shell_integration/profile_marks.rs: rewrite_recorded: Decoded::read	ledger key naming a file	rewrite_recorded (1 site(s), Decoded::read)	P16	no
crates/bt-app/src/file_reads_doors.txt	shell_integration/profile_runtime.rs: enable_record: Marks::read	ledger key naming a file	enable_record (1 site(s), Marks::read)	P16	no
crates/bt-app/src/file_reads_doors.txt	shell_integration/profile_runtime.rs: install_recorded: Marks::read	ledger key naming a file	install_recorded (1 site(s), Marks::read)	P16	no
crates/bt-app/src/file_reads_doors.txt	shell_integration/profile_runtime.rs: operate_with: Marks::read	ledger key naming a file	operate_with (1 site(s), Marks::read)	P16	no
crates/bt-app/src/file_reads_doors.txt	trace.rs: append: .open	ledger key naming a file	append (1 site(s), .open)	P16	no
crates/bt-app/src/file_reads_doors.txt	trace.rs: create: .open	ledger key naming a file	create (1 site(s), .open)	P16	no
crates/bt-app/src/file_reads_doors.txt	trace.rs: open: .open	ledger key naming a file	open (1 site(s), .open)	P16	no
crates/bt-app/src/file_reads_doors.txt	uninstall.rs: execute_with_claim: Marks::read	ledger key naming a file	execute_with_claim (1 site(s), Marks::read)	P16	no
crates/bt-app/src/file_reads_doors.txt	update.rs: take: .open	ledger key naming a file	take (1 site(s), .open)	P16	no
crates/bt-app/src/file_reads_doors.txt	video_seat.rs: open: Engine::open	ledger key naming a file	open (1 site(s), Engine::open)	P16	no
crates/bt-app/src/file_reads_doors.txt	video_seat.rs: open: VideoSeat::open	ledger key naming a file	open (1 site(s), VideoSeat::open)	P16	no
crates/bt-app/src/file_reads_source_tests.rs	file_reads_source_tests::file_reads_every_product_content_door_has_a_lane	include_str!	animation.rs	P14	no
crates/bt-app/src/file_reads_source_tests.rs	file_reads_source_tests::file_reads_reporting_borrows_the_watchdog_and_installs_no_wake	include_str!	watch_forever	P14	no
crates/bt-app/src/first_run.rs	first_run::clock_edge_tests::first_run_clock_run_disk_questions_follow_the_ready_edge	include_str!	adopt_profile_table;agent_is_on_this_machine;answer_first_run;first_run;is_available;raise_first_run_if_due;self	P3	yes
crates/bt-app/src/first_run.rs	first_run::tests::the_card_names_no_platform_of_its_own	include_str!	first_run.rs	P14	no
crates/bt-app/src/formula_tools.rs	formula_tools::tests::formula_present_uses_one_guard_and_consumes_the_landing_receipt	include_str!	carry_live_journeys;formula_overlay_is_active;math_band_trace_for_present;math_band_trace_line;present_retained_picture;redraw;refresh_formula_overlay_for_present;settle_math_toggle;sync_math_tools	P3	yes
crates/bt-app/src/formula_tools.rs	formula_tools::tests::the_landing_frame_needs_no_snap	include_str!	redraw	P3	yes
crates/bt-app/src/formula_tools.rs	formula_tools::tests::the_marks_fade_in_travel_and_fade_out_on_the_tips_own_ninety_milliseconds	include_str!	cubic_bezier	P14	no
crates/bt-app/src/formula_tools.rs	formula_tools::tests::the_marks_stand_on_the_band_of_the_frame_being_drawn	include_str!	math_tool_placement	P3	yes
crates/bt-app/src/formula_tools.rs	formula_tools::tests::the_source_face_and_the_marks_read_one_frame	include_str!	formula_toggle_layers;math_tool_placement	P3	yes
crates/bt-app/src/i18n.rs	i18n::tests::no_profile_title_has_been_pulled_into_the_language_table	include_str!	i18n.rs	P14	no
crates/bt-app/src/i18n.rs	i18n::tests::no_string_in_this_table_asks_for_a_relaunch	include_str!	i18n.rs	P14	no
crates/bt-app/src/icons.rs	icons::tests::a_path_strip_wears_the_folder_it_is_standing_in	include_str!	push_files_foot	P14	no
crates/bt-app/src/icons.rs	icons::tests::no_drawing_carries_a_bare_alpha	include_str!	marks.rs	P14	no
crates/bt-app/src/icons.rs	icons::tests::no_font_character_stands_in_for_a_mark	include_str!	file_peek.rs;float.rs;git_graph.rs;git_panel.rs;notice.rs;peek_strip.rs;profiles.rs;restore.rs;search.rs;seats.rs;settings.rs;toast.rs	P14	no
crates/bt-app/src/icons.rs	icons::tests::no_surface_reaches_past_the_registry_for_a_disclosure	include_str!	float.rs;git_graph.rs;git_panel.rs;profiles.rs;search.rs;seats.rs;settings.rs	P14	no
crates/bt-app/src/icons.rs	icons::tests::the_punctuation_that_stayed_a_character_is_set_as_type	include_str!	seats.rs;settings.rs	P14	no
crates/bt-app/src/icons.rs	icons::tests::the_tip_pass_walks_the_runs_instead_of_listing_the_buttons	include_str!	rebuild_tooltip_anchors;seats	P3	yes
crates/bt-app/src/ime_outbound.rs	ime_outbound::tests::ime_outbound_sites_keep_their_trace_calls	include_str!	apply_ime_cursor_area;cancel_composition;flush_ime_cursor_area;ime_input;keyboard_owner;offer_ime_caret;reoffer_ime_cursor_area	P3	yes
crates/bt-app/src/ime_report_tests.rs	ime_report_tests::ime_self_report_startup_and_focus_source_pin	include_str!	ime_input	P3	yes
crates/bt-app/src/journeys_tests.rs	journeys_tests::a_periodic_is_its_condition_and_never_a_latch	include_str!	strip_animation_work	P3	yes
crates/bt-app/src/journeys_tests.rs	journeys_tests::a_picture_that_arrives_between_frames_books_its_own_wake	include_str!	advance_strip_animation;deadline;drag_autoscroll_deadline;next_animation_deadline;next_animation_frame;strip_animation_work;terminal_thumb_work	P3	yes
crates/bt-app/src/journeys_tests.rs	journeys_tests::a_service_that_finds_nothing_changed_hands_nothing_over	include_str!	ask_float_directories;ask_git_for_floats;resize;resize_floats_to_content;service_pictures	P3	yes
crates/bt-app/src/journeys_tests.rs	journeys_tests::an_elapsed_time_service_is_never_gated_and_the_flood_shows_its_state	include_str!	advance_card_hint;advance_file_peek;advance_float;advance_key_hint_if_due;advance_strip_animation;advance_toasts;advance_tooltip_if_due;animation_frame_is_due;carry_live_journeys;service_drag_autoscroll;service_pictures;sweep_video_seats;turn	P3	yes
